from,to,end_of_month,average_rate,number_of_days
USD,EUR,2018.06.30,0.8565074263,30
USD,EUR,2018.07.31,0.8552222091,31
USD,EUR,2018.08.31,0.8664816206,31
USD,EUR,2018.09.30,0.8583175395,30
USD,EUR,2018.10.31,0.8696719661,31
USD,EUR,2018.11.30,0.8798191399,30
USD,EUR,2018.12.31,0.879384206,31
USD,EUR,2019.01.31,0.875656278,31
USD,EUR,2019.02.28,0.8808587624,28
USD,EUR,2019.03.31,0.8846061212,31
USD,EUR,2019.04.30,0.8901566319,30
USD,EUR,2019.05.31,0.8935163663,31
USD,EUR,2019.06.30,0.8854362301,30
USD,EUR,2019.07.31,0.8908927336,31
USD,EUR,2019.08.31,0.8980395237,31
USD,EUR,2019.09.30,0.907537638,30
USD,EUR,2019.10.31,0.9048227619,31
USD,EUR,2019.11.30,0.9043434289,30
USD,EUR,2019.12.31,0.9004700413,31
USD,EUR,2020.01.31,0.9002640272,31
USD,EUR,2020.02.29,0.9158702118,29
USD,EUR,2020.03.31,0.9033612509,31
USD,EUR,2020.04.30,0.9199401317,30
USD,EUR,2020.05.31,0.915750184,31
USD,EUR,2020.06.30,0.888883225,30
USD,EUR,2020.07.31,0.8742046691,31
USD,EUR,2020.08.31,0.845663821,31
USD,EUR,2020.09.30,0.8479181491,30
USD,EUR,2020.10.31,0.8497119758,31
USD,EUR,2020.11.30,0.8448017031,30
USD,EUR,2020.12.31,0.8221709208,31
USD,EUR,2021.01.31,0.8217043922,31
USD,EUR,2021.02.28,0.8267228828,28
USD,EUR,2021.03.31,0.8395967848,31
USD,EUR,2021.04.30,0.8367431406,30
USD,EUR,2021.05.31,0.8237584957,31
